iter	Passed	Remaining
152	187	1036
153	188	1034
154	189	1033
155	190	1031
156	191	1030
157	193	1029
158	194	1028
159	195	1027
160	196	1026
161	198	1025
162	199	1024
163	200	1023
164	202	1022
165	203	1021
166	204	1019
167	205	1017
168	206	1015
169	207	1014
170	208	1013
171	210	1011
172	211	1009
173	212	1008
174	213	1007
175	214	1005
176	216	1004
177	217	1003
178	218	1002
179	219	1001
180	221	1000
181	222	999
182	223	998
183	224	996
184	226	995
185	227	994
186	228	993
187	229	992
188	230	990
189	232	989
190	233	987
191	234	986
192	235	985
193	236	984
194	238	983
195	239	981
196	240	980
197	241	978
198	242	977
199	243	975
200	245	974
201	246	973
202	247	972
203	248	971
204	250	969
205	251	968
206	252	966
207	253	965
208	254	964
209	256	963
210	257	962
211	258	961
212	259	960
213	261	958
214	262	957
215	263	956
216	264	954
217	265	953
218	267	953
219	268	952
220	269	950
221	270	949
222	272	948
223	273	946
224	274	945
225	275	944
226	276	943
227	278	941
228	279	940
229	280	939
230	281	938
231	283	936
232	284	935
233	285	934
234	286	933
235	287	932
236	289	930
237	290	929
238	291	928
239	292	927
240	293	925
241	295	924
242	296	923
243	297	922
244	298	921
245	300	919
246	301	918
247	302	917
248	303	915
249	304	914
250	306	913
251	307	912
252	308	911
253	309	910
254	311	908
255	312	907
256	313	906
257	314	905
258	316	904
259	317	903
260	318	901
261	319	900
262	320	899
263	322	897
264	323	896
265	324	895
266	325	894
267	326	892
268	327	891
269	329	889
270	330	888
271	331	887
272	332	886
273	334	885
274	335	883
275	336	881
276	337	880
277	338	879
278	339	878
279	341	877
280	342	876
281	343	874
282	344	873
283	346	872
284	347	871
285	348	869
286	349	868
287	350	867
288	352	866
289	353	865
290	354	864
291	355	862
292	357	861
293	358	860
294	359	859
295	360	858
296	361	856
297	362	854
298	364	853
299	365	852
300	366	851
301	368	850
302	369	849
303	370	848
304	371	846
305	372	845
306	373	844
307	375	843
308	376	841
309	377	840
310	378	839
311	380	838
312	381	836
313	382	835
314	383	833
315	384	832
316	386	831
317	387	830
318	388	829
319	390	828
320	391	827
321	392	826
322	393	825
323	395	824
324	396	822
325	397	821
326	398	820
327	400	819
328	401	818
329	402	817
330	403	816
331	404	814
332	406	813
333	407	812
334	408	811
335	409	809
336	411	808
337	412	807
338	413	806
339	414	805
340	415	803
341	417	802
342	418	801
343	419	799
344	420	798
345	421	797
346	423	796
347	424	795
348	425	793
349	426	792
350	428	791
351	429	790
352	430	789
353	432	788
354	433	787
355	434	786
356	436	785
357	437	784
358	438	783
359	439	782
360	441	780
361	442	779
362	443	777
363	444	776
364	445	775
365	446	774
366	448	773
367	449	772
368	451	771
369	452	770
370	454	770
371	455	769
372	457	768
373	458	766
374	459	765
375	460	764
376	462	763
377	463	763
378	464	761
379	466	760
380	467	759
381	469	758
382	470	757
383	471	757
384	473	756
385	474	754
386	475	753
387	477	752
388	478	751
389	479	750
390	481	749
391	482	748
392	483	747
393	485	746
394	486	744
395	487	743
396	488	742
397	489	741
398	491	739
399	492	738
400	493	737
401	494	735
402	495	734
403	497	733
404	498	732
405	500	731
406	501	730
407	502	729
408	504	728
409	505	727
410	507	726
411	508	725
412	509	724
413	511	723
414	512	722
415	513	721
416	514	719
417	516	718
418	517	717
419	518	716
420	520	715
421	521	714
422	522	712
423	523	711
424	525	710
425	526	709
426	527	707
427	528	706
428	529	705
429	531	704
430	532	703
431	534	702
432	535	701
433	536	700
434	538	698
435	539	697
436	540	696
437	541	695
438	543	694
439	544	693
440	545	691
441	546	690
442	548	689
443	549	688
444	550	687
445	552	685
446	553	684
447	554	683
448	555	681
449	556	680
450	558	679
451	559	678
452	560	676
453	561	675
454	562	674
455	564	673
456	565	671
457	566	670
458	567	669
459	569	668
460	570	667
461	572	666
462	573	665
463	574	664
464	576	663
465	577	662
466	579	660
467	580	659
468	581	658
469	582	657
470	584	656
471	585	654
472	586	653
473	588	652
474	589	651
475	590	650
476	591	649
477	593	647
478	594	646
479	595	645
480	597	644
481	598	642
482	599	641
483	600	640
484	601	639
485	603	637
486	604	636
487	605	635
488	606	634
489	608	633
490	609	631
491	610	630
492	611	629
493	613	628
494	614	626
495	615	625
496	616	624
497	618	623
498	619	622
499	620	620
500	622	619
